B_cell__CD19-positive,CD16-negative__CD56-bright_natural_killer_cell,CD16-positive__CD56-dim_natural_killer_cell,T_cell/B_cell_doublet,T_follicular_helper_cell,alveolar_macrophage,central_memory_CD4-positive__alpha-beta_T_cell,central_memory_CD8-positive__alpha-beta_T_cell,classical_monocyte,cycling_T_or_natural_killer_cell,cycling_cell,dendritic_cell,effector_memory_CD4-positive__alpha-beta_T_cell,effector_memory_CD8-positive__alpha-beta_T_cell,erythroid_lineage_cell,gamma-delta_T_cell,germinal_center_B_cell,group_3_innate_lymphoid_cell,gut_tissue-resident__CD8-positive__memory_T_cell,macrophage,mast_cell,mature_alpha-beta_T_cell,megakaryocyte,memory_B_cell,mononuclear_phagocyte/B_cell_doublet,mononuclear_phagocyte/T_cell_doublet,mucosal_invariant_T_cell,naive_B_cell,non-classical_monocyte,plasma_cell,plasmablast,plasmacytoid_dendritic_cell,precursor_B_cell,pro-B_cell,progenitor_cell,regulatory_T_cell,tissue-resident_effector_memory_CD8-positive_T_cell,tissue-resident_memory_T-helper_1/17_cell,tissue-resident_memory_gamma-delta_T_cell
MS4A1,CD7,GNLY,IGKC,JUNB,S100A11,RPL30,CD8B,LYZ,STMN1,HMGN2,CD74,IL7R,NKG7,PRDX2,CST7,ACTG1,IL7R,CD8A,FTL,CPA3,ATP6,CAVIN2,MS4A1,MS4A1,CST3,CST7,CD37,AIF1,MZB1,MZB1,IRF7,RCSD1,CD79B,SERPINB1,CD3E,GZMK,CD2,CD7
HLA-DQA1,IL2RB,NKG7,JUN,SARAF,CTSD,RPL32,CD8A,S100A9,HMGB2,LYZ,HLA-DQA1,LTB,GZMH,CA1,CMC1,GAPDH,FXYD5,CCL5,FTH1,TPSB2,NA,TAGLN2,CD79A,CD79A,FTL,IL32,TCL1A,LST1,XBP1,HSP90B1,TCF4,CD79B,RCSD1,PTMA,IL32,CST7,TNFAIP3,CCL5
CD74,NKG7,GZMB,CD79A,IL7R,VIM,RPS12,RPS12,FCN1,HMGN2,H2AZ1,HLA-DPA1,IL32,CCL5,HMGB1,CCL5,HMGN1,KLRB1,CCL5,FCER1G,TPSAB1,ATP8,SEPT5-GP1BB,BANK1,CD74,AIF1,NKG7,CD79A,PSAP,HSP90B1,PPIB,SOX4,YBX3,VPREB3,ENO1,CD3D,CCL5,IL32,HOPX
CD79A,IFITM1,PRF1,MS4A1,FYB1,ANXA2,RPL34,RPL32,S100A8,HMGB1,LGALS1,CST3,LDHB,CST7,AHSP,NKG7,HMGB1,ZFP36L1,CD8B,CD68,GATA2,ND4L,LIMS1,CD74,HLA-DPA1,TYROBP,CCL5,CD74,IFITM3,SSR4,XBP1,IRF8,SOX4,VPREB1,HMGN2,CTLA4,CCL5,ANXA1,ITGA1
HLA-DQB1,IFITM2,CTSW,DNAJB1,CD3E,FTH1,RPS15A,RPL13,VCAN,TYMS,DEK,SPI1,FXYD5,PRF1,HMGA1,CTSW,HMGN2,NFKBIA,CD3E,NA,MS4A2,NA,NA,CD37,CD37,LYZ,CCL5,IGHM,COTL1,DERL3,FKBP11,UGCG,TCL1A,DNTT,RPS24,TRAC,GZMA,IL7R,CCL5
BANK1,CTSW,CST7,HSPA1A,DNAJB1,S100A10,RPS13,LDHB,CTSS,GAPDH,VIM,LYZ,RPS12,GZMA,BLVRB,CCL4,ACTB,AREG,IL7R,AIF1,KIT,ND3,RGS18,HLA-DQA1,BANK1,IFI30,CTSW,FCER2,CTSS,FKBP11,SDF2L1,PLD4,IGLL5,IGLL1,MPO,SARAF,CD3E,KLF6,RGS1
HLA-DPA1,KLRB1,CD247,HSPA1B,CD3D,CD68,RPL13,RPS14,TYROBP,DEK,ANXA2,TMSB10,TPT1,HCST,NME4,CCL5,HMGA1,FOS,JUN,GLUL,TPSD1,COX1,RAP1B,HLA-DPA1,HLA-DQB1,FTH1,PRF1,MS4A1,TIMP1,TXNDC5,TXNDC5,IL3RA,PTMA,YBX3,RPL7,C12orf57,NKG7,CD3E,GZMA
CD19,XCL1,KLRD1,JCHAIN,BTG2,APOC1,RPL35A,RPS21,CD14,PFN1,TSPO,GSTP1,EEF1A1,IL32,RPLP0,DUSP2,PPIA,TRBC1,NA,TYROBP,VIM,ND5,H3-3A,HLA-DQB1,CD83,CTSS,GZMA,CD79B,TYROBP,JCHAIN,SEC11C,SEC61B,LAPTM5,LAPTM5,HMGB1,LDHB,HCST,CD3D,CD96
MEF2C,XCL2,SPON2,HSPA1A,JUN,MARCO,RPS14,RPS13,NAMPT,MKI67,TUBA1B,HLA-DRB1,CD3E,GZMB,TUBA1B,KLRD1,ARPC2,TNFAIP3,CD3D,S100A11,CLU,COX2,PDLIM1,CD19,CD79B,NA,CD3E,RPL18A,CST3,SEC11C,PDIA4,CCDC50,CDC25B,TKT,NUCB2,LCK,CD8A,S100A4,TMIGD2
